[hubazoviruk:  05.10.2021, 13:08:28] --> Character leveled up to level 19
[hubazoviruk:  05.10.2021, 13:09:04] --> mokarutomek appeared
[hubazoviruk:  05.10.2021, 13:09:26] --> mokarutomek appeared
[hubazoviruk:  05.10.2021, 13:10:25] --> Character leveled up to level 20
[hubazoviruk:  05.10.2021, 13:10:26] --> mokarutomek appeared
[hubazoviruk:  05.10.2021, 13:13:24] --> Character leveled up to level 21
[hubazoviruk:  05.10.2021, 13:21:24] --> Character leveled up to level 22
[hubazoviruk:  05.10.2021, 13:31:26] --> Character leveled up to level 23
[hubazoviruk:  05.10.2021, 13:31:27] --> Setting 'umut2' loaded because of active level settings
[hubazoviruk:  05.10.2021, 13:31:35] --> Character got kick
[hubazoviruk:  05.10.2021, 13:32:54] --> Bot successfully started
[hubazoviruk:  05.10.2021, 13:32:54] --> Setting 'umut2' loaded because of active level settings
[hubazoviruk:  05.10.2021, 13:33:02] --> Character was kicked from the bot, reason: Character was walking
[hubazoviruk:  05.10.2021, 13:33:08] --> DropeSpartek appeared
[hubazoviruk:  05.10.2021, 13:33:27] --> Character was kicked from the bot, reason: Character was walking
[hubazoviruk:  05.10.2021, 13:33:31] --> bucekivohac appeared
[hubazoviruk:  05.10.2021, 13:35:10] --> Character leveled up to level 24
[hubazoviruk:  05.10.2021, 13:36:41] --> Character leveled up to level 25
[hubazoviruk:  05.10.2021, 13:38:46] --> Character leveled up to level 26
[hubazoviruk:  05.10.2021, 13:41:09] --> Character leveled up to level 27
[hubazoviruk:  05.10.2021, 13:45:06] --> Character leveled up to level 28
[hubazoviruk:  05.10.2021, 13:49:10] --> Character leveled up to level 29
[hubazoviruk:  05.10.2021, 13:51:29] --> Character leveled up to level 30
[hubazoviruk:  05.10.2021, 13:51:31] --> Bot stopped: Character reached level 30
[hubazoviruk:  05.10.2021, 13:53:21] --> Character died
[hubazoviruk:  05.10.2021, 13:56:22] --> Character got kick
[hubazoviruk:  05.10.2021, 13:56:57] --> mokarutomek appeared
[hubazoviruk:  05.10.2021, 13:57:22] --> Character was kicked from the bot, reason: Changing character
[namomuruso:   05.10.2021, 13:58:52] --> Setting 'umut' loaded because of active level settings
[namomuruso:   05.10.2021, 13:58:56] --> Character went to shop
[namomuruso:   05.10.2021, 13:59:03] --> Character was kicked from the bot, reason: Character was walking
[namomuruso:   05.10.2021, 13:59:33] --> wozicopopan appeared
[namomuruso:   05.10.2021, 14:00:13] --> Character was kicked from the bot, reason: Character was walking
[namomuruso:   05.10.2021, 14:00:26] --> Character was kicked from the bot, reason: Character was walking
